scenario,scenario_kind,method,n,applicable_n,applicability,convergence,bias,abs_bias,rmse,coverage,ci_width,type1_error,power
PB_STEP_MOD,step,TAS,300,284,0.946666666666667,1,0.126265942342931,0.141296905702042,0.167971962356338,0.742957746478873,0.456691231222777,,0.911971830985916
PB_STEP_MOD,step,PBM,300,300,1,1,0.111674265760236,0.130308941177857,0.157609784588337,0.846666666666667,0.558852848119237,,0.816666666666667
PB_STEP_SEV,step,REML,300,300,1,1,0.20919550188295,0.213877014934408,0.237190216357778,0.426666666666667,0.421154130966308,,0.95
PB_STEP_SEV,step,HKSJ,300,300,1,1,0.20919550188295,0.213877014934408,0.237190216357778,0.54,0.501359330710519,,0.91
PB_STEP_SEV,step,PETPEESE,300,300,1,1,0.0161256817864411,0.239847487828352,0.302797605246129,0.81,1.31232219396285,,0.303333333333333
PB_STEP_SEV,step,TRIMFILL,300,300,1,1,0.156459206224698,0.169556053068442,0.202422119239828,0.543333333333333,0.425048496474466,,0.903333333333333
PB_STEP_SEV,step,SWA,300,198,0.66,1,0.150794384640113,0.156201052525351,0.181381173023097,0.585858585858586,0.412267800192504,,0.939393939393939
PB_STEP_SEV,step,TAS,300,198,0.66,1,0.213443559931765,0.216221461338102,0.236916219234874,0.46969696969697,0.446458443608342,,0.949494949494949
PB_STEP_SEV,step,PBM,300,300,1,1,0.179658609737002,0.187959842464856,0.214630020490167,0.696666666666667,0.650963377749311,,0.783333333333333
PB_ONE_SIDED,one_sided,REML,300,300,1,1,0.098572842170378,0.105935711002737,0.128663227036325,0.74,0.323413449232979,,0.81
PB_ONE_SIDED,one_sided,HKSJ,300,300,1,1,0.098572842170378,0.105935711002737,0.128663227036325,0.753333333333333,0.343585245710598,,0.76
PB_ONE_SIDED,one_sided,PETPEESE,300,300,1,1,-0.0215035700236316,0.165344151964023,0.204188291136302,0.886666666666667,0.855363714659875,,0.173333333333333
PB_ONE_SIDED,one_sided,TRIMFILL,300,300,1,1,0.0455277309502398,0.105906066683098,0.130125555363422,0.78,0.3303289888665,,0.61
PB_ONE_SIDED,one_sided,SWA,300,300,1,1,0.0601424151233547,0.0826516163491739,0.102250130849096,0.84,0.325345506891806,,0.683333333333333
PB_ONE_SIDED,one_sided,TAS,300,300,1,1,0.098572842170378,0.105935711002737,0.128663227036326,0.773333333333333,0.348737913083161,,0.75
PB_ONE_SIDED,one_sided,PBM,300,300,1,1,0.0796911828467271,0.0960384753438177,0.118440544037445,0.87,0.423509030197196,,0.576666666666667
PB_CONT,continuous,REML,300,300,1,1,0.213354018735794,0.228039200094367,0.256573702217048,0.513333333333333,0.521877287837114,,0.876666666666667
PB_CONT,continuous,HKSJ,300,300,1,1,0.213354018735794,0.228039200094367,0.256573702217048,0.59,0.654891318146482,,0.8
PB_CONT,continuous,PETPEESE,300,300,1,0.993333333333333,-0.0652443329471135,0.317053284770283,0.430476876284146,0.875838926174497,2.08931657889495,,0.184563758389262
PB_CONT,continuous,TRIMFILL,300,300,1,1,0.160562237546675,0.188473669022943,0.230503673038362,0.623333333333333,0.519159535018398,,0.783333333333333
PB_CONT,continuous,SWA,300,54,0.18,1,0.11795892663668,0.129251658084953,0.154855586314144,0.722222222222222,0.467586474780797,,0.888888888888889
PB_CONT,continuous,TAS,300,54,0.18,1,0.202569186733834,0.208116757013208,0.223473842055344,0.611111111111111,0.508534437960725,,0.944444444444444
PB_CONT,continuous,PBM,300,300,1,1,0.179316736002888,0.20380258450204,0.236278052324133,0.806666666666667,0.995874537824472,,0.57
PB_NULL_TYPE1,step,REML,300,300,1,1,0.00908003440764299,0.153834454932783,0.196016826209897,0.886666666666667,0.704176723382298,0.113333333333333,
PB_NULL_TYPE1,step,HKSJ,300,300,1,1,0.00908003440764299,0.153834454932783,0.196016826209897,0.923333333333333,0.882954846736654,0.0766666666666667,
PB_NULL_TYPE1,step,PETPEESE,300,300,1,1,-0.0285712532498507,0.395926394047801,0.497547308308134,0.956666666666667,2.68320611260658,0.0433333333333333,
PB_NULL_TYPE1,step,TRIMFILL,300,300,1,1,0.00517756648324366,0.151265128002048,0.19238240125821,0.9,0.711306915439435,0.1,
PB_NULL_TYPE1,step,SWA,300,98,0.326666666666667,1,0.0235509171700183,0.142834296440202,0.177157246582522,0.857142857142857,0.619906534822368,0.142857142857143,
PB_NULL_TYPE1,step,TAS,300,98,0.326666666666667,1,0.0124675775533178,0.159066908341117,0.194011907912963,0.887755102040816,0.696221953035778,0.112244897959184,
PB_NULL_TYPE1,step,PBM,300,300,1,1,0.00547025407500568,0.151118078872329,0.192013390920001,0.953333333333333,1.16646732182546,0.0466666666666667,
PB_SMALL_K,step,REML,300,300,1,1,0.123361886014597,0.184809362199498,0.223621589738754,0.786666666666667,0.686226677743156,,0.636666666666667
PB_SMALL_K,step,HKSJ,300,300,1,1,0.123361886014597,0.184809362199498,0.223621589738754,0.893333333333333,1.02510054788051,,0.51
PB_SMALL_K,step,PETPEESE,300,300,1,1,0.0205018579387344,0.481403512875876,0.654447940207679,0.91,4.1912836604648,,0.136666666666667
PB_SMALL_K,step,TRIMFILL,300,300,1,1,0.103264566677012,0.182681071791761,0.225059634712289,0.806666666666667,0.689221666937393,,0.616666666666667
PB_SMALL_K,step,SWA,300,0,0,,,,,,,,
PB_SMALL_K,step,TAS,300,0,0,,,,,,,,
PB_SMALL_K,step,PBM,300,300,1,1,0.110378448361166,0.187610576450484,0.22877332295785,0.96,1.81180253686442,,0.256666666666667
PB_HIGH_HET,step,REML,300,300,1,1,0.128282892466367,0.184681050885486,0.231402004007649,0.886666666666667,0.794431161882713,,0.55
PB_HIGH_HET,step,HKSJ,300,300,1,1,0.128282892466367,0.184681050885486,0.231402004007649,0.916666666666667,0.878435877926678,,0.483333333333333
PB_HIGH_HET,step,PETPEESE,300,300,1,1,0.0558318748338529,0.419411927301239,0.499101540687565,0.94,2.26546968821929,,0.173333333333333
PB_HIGH_HET,step,TRIMFILL,300,300,1,1,0.0915256129205889,0.159950936081722,0.204127226503023,0.933333333333333,0.800323244506899,,0.47
PB_HIGH_HET,step,SWA,300,296,0.986666666666667,1,0.0796676680714681,0.191422048202738,0.233645612105889,0.881756756756757,0.83642130414104,,0.493243243243243
PB_HIGH_HET,step,TAS,300,296,0.986666666666667,1,0.128124238289488,0.184748956959893,0.231290062370967,0.918918918918919,0.875463512554381,,0.483108108108108
PB_HIGH_HET,step,PBM,300,300,1,1,0.116110760967063,0.178847195625447,0.222865034127851,0.95,1.02322386267356,,0.36
PB_CONT_NULL,continuous,REML,300,300,1,1,0.0052024061648739,0.203172388681563,0.252402629208137,0.87,0.942558718011602,0.13,
PB_CONT_NULL,continuous,HKSJ,300,300,1,1,0.0052024061648739,0.203172388681563,0.252402629208137,0.913333333333333,1.38514384575304,0.0866666666666667,
PB_CONT_NULL,continuous,PETPEESE,300,300,1,1,-0.00181256080581326,0.676324936681083,1.16455364598887,0.943333333333333,5.98172397038635,0.0566666666666667,
PB_CONT_NULL,continuous,TRIMFILL,300,300,1,1,0.00969738052870161,0.178857412692939,0.222699629816487,0.896666666666667,0.934047242446331,0.103333333333333,
PB_CONT_NULL,continuous,SWA,300,7,0.0233333333333333,1,0.0851915604382719,0.138980377848266,0.163471456597437,1,0.636605353500035,0,
PB_CONT_NULL,continuous,TAS,300,7,0.0233333333333333,1,0.0818584808646904,0.132465306725682,0.175956367678977,0.857142857142857,0.733392459548425,0.142857142857143,
PB_CONT_NULL,continuous,PBM,300,300,1,1,0.0195463162133632,0.204647134515157,0.260783974537889,0.946666666666667,2.1303170298282,0.0533333333333333,
