dataset,measure,k,method,estimate,se,abs_shift_vs_reml
CD001797_pub4_data,OR,44,LTH,0.582117830852549,0.180425636719112,0.0413492854618206
CD001797_pub4_data,OR,44,RMR,0.527873970891908,0.200209825951149,0.0128945744988207
CD001797_pub4_data,OR,44,CRT,0.540768545390728,0.140100343763272,0
CD001797_pub4_data,OR,44,AWH,0.535134090513655,0.19821675185952,0.00563445487707293
CD001797_pub4_data,OR,44,MRSTACK,0.624025442118734,0.218584464440234,0.0832568967280054
CD001797_pub4_data,OR,44,SAFE,0.540249109585015,0.163641321224629,0.000519435805712898
CD001797_pub4_data,OR,44,CPC,0.708493306543148,0.873827487424937,0.167724761152419
CD001797_pub4_data,OR,44,DTM,0.552571328137599,0.210206062311405,0.0118027827468707
CD001797_pub4_data,OR,44,BSC,0.540768545187381,0.19821675185952,2.03347227945017e-10
CD001797_pub4_data,OR,44,HGAM,1.53044754025659,0.312284510107256,0.989678994865859
CD001797_pub4_data,OR,44,MTLE,0.506217465498615,0.435195042566295,0.0345510798921136
CD001797_pub4_data,OR,44,PBM,0.632918233835163,0.265661104893349,0.0921496884444346
CD001797_pub4_data,OR,44,FATIHA,0.540768862055147,0.160973859511389,3.16664418908985e-07
CD001837_pub4_data,OR,80,REML,0.294698861468373,0.0344793326338546,0
CD001837_pub4_data,OR,80,HKSJ,0.294698861468373,0.0371821931595422,0
CD001837_pub4_data,OR,80,QSE,0.294698861468373,0.0357543683525223,5.55111512312578e-17
CD001837_pub4_data,OR,80,LTH,0.28487325052971,0.0307576815131605,0.00982561093866313
CD001837_pub4_data,OR,80,RMR,0.279895794250401,0.034797678135873,0.0148030672179728
CD001837_pub4_data,OR,80,CRT,0.271405783167563,0.0328892203515903,0.0232930783008102
CD001837_pub4_data,OR,80,AWH,0.284997460384935,0.0344793346695728,0.0097014010834382
CD001837_pub4_data,OR,80,MRSTACK,0.233987059880309,0.12465354001411,0.0607118015880643
CD001837_pub4_data,OR,80,SAFE,0.289624100910081,0.0343928882940507,0.0050747605582927
CD001837_pub4_data,OR,80,CPC,0.258979172829735,0.264402794731997,0.0357196886386382
CD001837_pub4_data,OR,80,DTM,0.293269024178024,0.0380148375321404,0.0014298372903499
CD001837_pub4_data,OR,80,BSC,0.294698863427109,0.0344793346695728,1.95873545161263e-09
CD001837_pub4_data,OR,80,HGAM,0.31797347725034,0.0983005027053289,0.0232746157819661
CD001837_pub4_data,OR,80,MTLE,0.259577367026958,0.112159390217469,0.0351214944414157
CD001837_pub4_data,OR,80,PBM,0.240677251195253,0.0907428960492153,0.0540216102731206
CD001837_pub4_data,OR,80,FATIHA,0.285008546366492,0.034227519975559,0.0096903151018819
CD001909_pub4_data,OR,80,REML,0.567117983321718,0.0823550021877125,0
